,Jogo 1,Jogo 1,Jogo 1,Jogo 1,Jogo 1,Jogo 1,Jogo 1,Jogo 1,Jogo 2,Jogo 2,Jogo 2,Jogo 2,Jogo 2,Jogo 2
31,4615,1,Sport,Amarelo,Rodrigo Mancha,5.0,Meio-campo,43,4626.0,2.0,Sport,Ananias Elói Castro Monteiro,38,
32,4616,1,Criciuma,Amarelo,Silvinho,,Atacante,72,4623.0,2.0,Bahia,Lincoln Cássio de Souza Soares,8,
33,4616,1,Criciuma,Amarelo,João Vitor Lima Gomes,,Meio-campo,29,4623.0,2.0,Bahia,Fahel,74,
34,4616,1,Palmeiras,Amarelo,Josimar,15.0,Meio-campo,90+1,4624.0,2.0,Atletico-MG,Luiz Fernando Pereira da Silva,84,
35,4616,1,Palmeiras,Amarelo,Marcelo Oliveira Ferreira,26.0,Meio-campo,26,4624.0,2.0,Gremio,Alan Ruiz,11,
36,4616,1,Criciuma,Amarelo,Sergio Escudero,,Zagueiro,56,4624.0,2.0,Gremio,Lucas Coelho,22,
37,4616,1,Palmeiras,Amarelo,Alan Kardec,14.0,Atacante,90+2,4625.0,2.0,Goias,Willian José de Souza,82,
38,4616,1,Palmeiras,Amarelo,Fernando Prass,1.0,Goleiro,72,4628.0,3.0,Cruzeiro,Elierce Barbosa de Souza,75,Penalty
39,4616,1,Palmeiras,Amarelo,Jorge Valdivia,10.0,Meio-campo,22,4628.0,3.0,Cruzeiro,Marcelo Moreno,83,
40,4617,2,Coritiba,Amarelo,José Gildeixon Clemente de Paiva,8.0,Meio-campo,56,4628.0,3.0,Athletico-PR,Éderson Alves Ribeiro Silva,24,
41,4617,2,Coritiba,Amarelo,Luccas Claro,3.0,Zagueiro,47,4628.0,3.0,Athletico-PR,Marcelo Cirino da Silva,40,
42,4617,2,Santos,Amarelo,Alan Santos da Silva,,Meio-campo,81,4628.0,3.0,Cruzeiro,Nílton Ferreira Júnior,36,
43,4617,2,Santos,Amarelo,Neuciano Gusmão,4.0,Zagueiro,17,4629.0,3.0,Coritiba,Luis Francisco Grando,61,
44,4617,2,Coritiba,Amarelo,Zé Love,7.0,Atacante,52,4629.0,3.0,Sao Paulo,Alexandre Pato,22,
45,4617,2,Santos,Amarelo,Stéfano Yuri,,,89,4629.0,3.0,Sao Paulo,Ademilson,72,
46,4617,2,Santos,Amarelo,Alison Lopes Ferreira,5.0,Meio-campo,79,4629.0,3.0,Coritiba,Róbson Michael Signorini,30,
47,4618,2,Fluminense,Amarelo,Wagner Ferreira dos Santos,10.0,Meio-campo,73,4630.0,3.0,Fluminense,Wagner Ferreira dos Santos,88,
48,4618,2,Palmeiras,Amarelo,Jorge Valdivia,10.0,Meio-campo,86,4630.0,3.0,Vitoria,Marcos Antônio da Silva Gonçalves,54,
49,4618,2,Fluminense,Amarelo,Darío Conca,11.0,Meio-campo,64,4630.0,3.0,Vitoria,Marcos Antônio da Silva Gonçalves,83,
50,4620,2,Vitoria,Amarelo,Dão,,Zagueiro,73,4631.0,3.0,Criciuma,Silvinho,14,
51,4620,2,Athletico-PR,Amarelo,Dráusio Luis Salla Gil,55.0,Zagueiro,10,4634.0,3.0,Flamengo,Alecsandro,73,
52,4622,2,Cruzeiro,Amarelo,Henrique Pacheco Lima,8.0,Meio-campo,70,4634.0,3.0,Flamengo,Paulinho,14,
53,4622,2,Cruzeiro,Amarelo,Miguel Samudio,21.0,Zagueiro,90+1,4634.0,3.0,Palmeiras,Wesley Lopes Beltrame,11,
54,4622,2,Sao Paulo,Amarelo,Álvaro Pereira,6.0,Zagueiro,23,4634.0,3.0,Palmeiras,Henrique Dourado,31,
55,4619,2,Botafogo-RJ,Vermelho,Lucas Rios Marques,2.0,Zagueiro,90+3,4634.0,3.0,Flamengo,Márcio Rodrigues Araújo,50,
56,4619,2,Botafogo-RJ,Amarelo,Edílson Mendes Guimarães,33.0,,82,4634.0,3.0,Flamengo,Alecsandro,60,
57,4619,2,Internacional,Amarelo,Otávio,33.0,,90+3,4633.0,3.0,Bahia,Maxi Biancucchi,59,
58,4619,2,Internacional,Amarelo,Gladestony,,,66,4632.0,3.0,Internacional,Andrés D'Alessandro,13,
59,4619,2,Botafogo-RJ,Amarelo,Airton Ribeiro Santos,,Meio-campo,52,4632.0,3.0,Internacional,Charles Aránguiz,45+1,
60,4619,2,Internacional,Amarelo,Charles Aránguiz,20.0,Meio-campo,82,4632.0,3.0,Sport,Patric Cabral Lalau,78,
61,4619,2,Internacional,Amarelo,Willians Domingos Fernandes,8.0,Meio-campo,16,4635.0,3.0,Corinthians,Paolo Guerrero,78,
62,4621,2,Corinthians,Amarelo,Ralf de Souza Teles,5.0,Meio-campo,26,4636.0,3.0,Goias,David França Oliveira e Silva,69,
63,4621,2,Flamengo,Amarelo,Víctor Cáceres,5.0,Meio-campo,37,4638.0,4.0,Palmeiras,Lucimar da Silva Ferreira,16,
64,4621,2,Flamengo,Vermelho,Léo Moura,2.0,Zagueiro,42,4638.0,4.0,Palmeiras,Henrique Dourado,32,
65,4621,2,Corinthians,Amarelo,Paolo Guerrero,9.0,Atacante,7,4637.0,4.0,Internacional,Andrés D'Alessandro,54,
66,4626,2,Sport,Amarelo,Danilo Barcelos,14.0,,69,4637.0,4.0,Internacional,Alan Patrick,67,
67,4626,2,Chapecoense,Amarelo,Rafael Lima,3.0,Zagueiro,53,4637.0,4.0,Athletico-PR,Marcos Guilherme,52,
68,4623,2,Figueirense,Amarelo,Marcos Assunção,,Meio-campo,73,4639.0,4.0,Botafogo-RJ,Daniel Corrêa Freitas,55,
69,4623,2,Figueirense,Amarelo,Paulo Roberto da Silva,28.0,Meio-campo,35,4639.0,4.0,Botafogo-RJ,Daniel Corrêa Freitas,57,
70,4623,2,Bahia,Amarelo,Demerson Bruno Costa,29.0,Zagueiro,32,4639.0,4.0,Botafogo-RJ,Emerson Sheik,23,
71,4623,2,Figueirense,Amarelo,Thiago Heleno,4.0,Zagueiro,70,4639.0,4.0,Botafogo-RJ,Daniel Corrêa Freitas,73,
72,4623,2,Bahia,Amarelo,Fahel,7.0,Meio-campo,66,4639.0,4.0,Botafogo-RJ,Emerson Sheik,52,
73,4624,2,Gremio,Vermelho,Bressan,22.0,Zagueiro,87,4639.0,4.0,Botafogo-RJ,Wallyson,81,
74,4624,2,Gremio,Amarelo,Rodrigo Eduardo Costa Marinho,27.0,Meio-campo,45,4642.0,4.0,Atletico-MG,André Felipe Ribeiro de Souza,71,Penalty
75,4624,2,Atletico-MG,Amarelo,André Felipe Ribeiro de Souza,,,90,4642.0,4.0,Atletico-MG,Marion Silva Fernandes,55,
76,4624,2,Atletico-MG,Amarelo,Nicolás Otamendi,20.0,Zagueiro,41,4642.0,4.0,Cruzeiro,Marcelo Moreno,37,
77,4624,2,Gremio,Amarelo,Bressan,22.0,Zagueiro,54,4640.0,4.0,Chapecoense,Tiago Luís Martins,90+2,
78,4624,2,Gremio,Amarelo,Alan Ruiz,11.0,Meio-campo,34,4640.0,4.0,Gremio,Hernán Barcos,30,
79,4624,2,Atletico-MG,Amarelo,Leonardo Silva,3.0,Zagueiro,51,4640.0,4.0,Gremio,Hernán Barcos,65,
80,4625,2,Criciuma,Amarelo,Bruno Lopes,,Atacante,18,4641.0,4.0,Fluminense,Francisco Souza dos Santos,87,
81,4628,3,Athletico-PR,Amarelo,Natanael Batista Pimenta,6.0,Zagueiro,74,4641.0,4.0,Fluminense,Fred,11,
82,4628,3,Athletico-PR,Amarelo,Cleberson Martins de Souza,4.0,Zagueiro,27,4643.0,4.0,Corinthians,Fagner,49,
83,4628,3,Cruzeiro,Amarelo,Wallace Fortuna dos Santos,18.0,Zagueiro,77,4643.0,4.0,Sao Paulo,Luís Fabiano,81,
84,4628,3,Athletico-PR,Vermelho,Dráusio Luis Salla Gil,55.0,Zagueiro,47,4644.0,4.0,Santos,Gabriel Barbosa,44,
85,4628,3,Athletico-PR,Amarelo,Weverton Pereira da Silva,12.0,Goleiro,60,4644.0,4.0,Santos,Arouca,62,
86,4628,3,Cruzeiro,Amarelo,Elierce Barbosa de Souza,78.0,Meio-campo,90+2,4645.0,4.0,Sport,Rithely,86,
87,4628,3,Cruzeiro,Amarelo,Luan Michel Louzã,88.0,Atacante,71,4646.0,4.0,Bahia,Pará,90+1,
88,4627,3,Santos,Amarelo,Alan Santos da Silva,,Meio-campo,26,4646.0,4.0,Vitoria,Souza,39,
89,4627,3,Gremio,Amarelo,Edinho,15.0,Meio-campo,29,4647.0,5.0,Goias,Ramón Rodrigo de Freitas,54,
90,4629,3,Sao Paulo,Amarelo,Luís Fabiano,9.0,Atacante,76,4647.0,5.0,Goias,Danilo Lopes Cezario,70,
91,4629,3,Sao Paulo,Amarelo,Alexandre Pato,,Atacante,23,4648.0,5.0,Cruzeiro,Ricardo Goulart,11,
92,4629,3,Coritiba,Amarelo,Luccas Claro,3.0,Zagueiro,52,4648.0,5.0,Coritiba,Norberto Pereira Marinho Neto,55,
93,4629,3,Sao Paulo,Amarelo,Antônio Carlos dos Santos Aguiar,4.0,Zagueiro,53,4648.0,5.0,Cruzeiro,Ricardo Goulart,45+1,
94,4629,3,Coritiba,Amarelo,Leandro Almeida,44.0,Zagueiro,58,4648.0,5.0,Cruzeiro,Borges,69,
95,4629,3,Coritiba,Amarelo,Zé Love,7.0,Atacante,36,4648.0,5.0,Coritiba,Alexsandro de Souza,23,
96,4630,3,Fluminense,Amarelo,Fred,9.0,Atacante,90,4651.0,5.0,Sao Paulo,Paulo Henrique Ganso,90+1,
97,4630,3,Vitoria,Amarelo,Souza,,Atacante,61,4651.0,5.0,Sao Paulo,Paulo Henrique Ganso,23,
98,4631,3,Figueirense,Vermelho,Nirley da Silva Fonseca,88.0,Zagueiro,30,4649.0,5.0,Gremio,Rodrigo Eduardo Costa Marinho,37,
99,4631,3,Criciuma,Amarelo,Rodrigo Silva,,,85,4650.0,5.0,Figueirense,Giovanni Augusto,48,
100,4631,3,Figueirense,Amarelo,Rivaldo Barbosa de Souza,7.0,Zagueiro,72,4652.0,5.0,Athletico-PR,Cleberson Martins de Souza,71,
101,4631,3,Figueirense,Amarelo,Tiago Luis Volpi,,Goleiro,31,4652.0,5.0,Chapecoense,Tiago Luís Martins,88,
102,4631,3,Figueirense,Amarelo,Thiago Heleno,4.0,Zagueiro,82,4653.0,5.0,Palmeiras,Marquinhos,49,
103,4631,3,Figueirense,Amarelo,Paulo Roberto da Silva,28.0,Meio-campo,47,4655.0,5.0,Santos,Cícero Santos,38,
104,4631,3,Figueirense,Amarelo,Nirley da Silva Fonseca,88.0,Zagueiro,25,4655.0,5.0,Atletico-MG,André Felipe Ribeiro de Souza,75,
105,4634,3,Flamengo,Amarelo,André Santos,27.0,Zagueiro,77,4655.0,5.0,Atletico-MG,André Felipe Ribeiro de Souza,81,
106,4634,3,Palmeiras,Amarelo,William Mendieta,,,90+2,4658.0,6.0,Flamengo,Paulinho,11,
107,4634,3,Palmeiras,Amarelo,Juninho,6.0,Zagueiro,57,4658.0,6.0,Bahia,Anderson Talisca,90+2,
108,4634,3,Flamengo,Amarelo,Negueba,,Meio-campo,51,4657.0,6.0,Internacional,Wellington Paulista,21,
109,4634,3,Palmeiras,Amarelo,Henrique Dourado,27.0,Atacante,90+1,4657.0,6.0,Coritiba,Alexsandro de Souza,75,Penalty
110,4634,3,Palmeiras,Amarelo,Josimar,15.0,Meio-campo,41,4659.0,6.0,Cruzeiro,Marcelo Moreno,77,
111,4633,3,Bahia,Amarelo,Lincoln Cássio de Souza Soares,,Meio-campo,81,4659.0,6.0,Cruzeiro,Ricardo Goulart,51,
112,4633,3,Bahia,Amarelo,Uelliton da Silva Vieira,8.0,Meio-campo,8,4660.0,6.0,Criciuma,Silvinho,23,
113,4633,3,Botafogo-RJ,Amarelo,Matheus Dória Macedo,21.0,Zagueiro,90+4,4662.0,6.0,Sao Paulo,Rogério Ceni,26,Penalty
114,4633,3,Botafogo-RJ,Amarelo,Gabriel Girotto Franco,15.0,Meio-campo,45,4662.0,6.0,Fluminense,Walter Henrique da Silva,66,
115,4633,3,Bahia,Amarelo,Anderson Talisca,8.0,Atacante,12,4662.0,6.0,Fluminense,Wagner Ferreira dos Santos,73,
116,4633,3,Bahia,Amarelo,Marcelo Lomba,1.0,Goleiro,5,4662.0,6.0,Fluminense,Rafael Sóbis,76,
117,4633,3,Botafogo-RJ,Amarelo,Edílson Mendes Guimarães,33.0,Zagueiro,56,4662.0,6.0,Fluminense,Lucas Cavalcante Silva Afonso,53,Gol Contra
118,4633,3,Botafogo-RJ,Amarelo,Júnior César,,Zagueiro,13,4662.0,6.0,Fluminense,Walter Henrique da Silva,42,
119,4632,3,Internacional,Amarelo,Charles Aránguiz,20.0,Meio-campo,81,4662.0,6.0,Sao Paulo,Alexandre Pato,45,
120,4632,3,Sport,Amarelo,Ananias Elói Castro Monteiro,27.0,Atacante,48,4663.0,6.0,Gremio,Rodrigo Eduardo Costa Marinho,44,
121,4632,3,Internacional,Amarelo,Juan Silveira dos Santos,4.0,Zagueiro,57,4663.0,6.0,Gremio,Maximiliano Rodríguez Maeso,81,
122,4632,3,Sport,Amarelo,Luiz Antonio Linhares Garcia,13.0,Zagueiro,37,4663.0,6.0,Botafogo-RJ,Pablo Zeballos,6,
123,4635,3,Chapecoense,Amarelo,André Luiz Paulino de Souza Motta,4.0,Zagueiro,19,4661.0,6.0,Athletico-PR,Douglas Coutinho,85,
124,4635,3,Corinthians,Amarelo,Guilherme dos Santos Torres,19.0,Meio-campo,25,4661.0,6.0,Corinthians,Jadson,59,Penalty
125,4635,3,Chapecoense,Amarelo,Rafael Lima,3.0,Zagueiro,80,4665.0,6.0,Goias,Alex Alves Cardoso,26,
126,4635,3,Corinthians,Amarelo,Fagner,23.0,Zagueiro,43,4665.0,6.0,Santos,Cícero Santos,39,Penalty
127,4635,3,Corinthians,Amarelo,Romarinho,31.0,Atacante,15,4665.0,6.0,Goias,Erik Nascimento de Lima,69,
128,4635,3,Chapecoense,Amarelo,Neuton,13.0,Zagueiro,23,4665.0,6.0,Santos,Geuvânio,9,
129,4636,3,Atletico-MG,Amarelo,Victor,1.0,Goleiro,90+2,4664.0,6.0,Palmeiras,Henrique Dourado,37,
130,4636,3,Goias,Amarelo,Tiago Real,,Meio-campo,90+3,4666.0,6.0,Atletico-MG,Rafael Berger,17,Gol Contra
131,4636,3,Atletico-MG,Amarelo,Claudinei Junio de Souza,,Meio-campo,67,4666.0,6.0,Vitoria,Willie Hortêncio Barbosa,90,
132,4638,4,Palmeiras,Amarelo,Jorge Valdivia,10.0,Meio-campo,87,4666.0,6.0,Atletico-MG,Jesús Dátolo,12,
133,4638,4,Palmeiras,Amarelo,Wesley Lopes Beltrame,11.0,Meio-campo,30,4666.0,6.0,Atletico-MG,Réver,62,
134,4638,4,Goias,Amarelo,Jackson de Souza,,Zagueiro,73,4666.0,6.0,Vitoria,Telmário de Araújo Sacramento,65,
135,4638,4,Goias,Amarelo,Alex Alves Cardoso,15.0,Zagueiro,34,4667.0,7.0,Fluminense,Kenedy,4,
136,4638,4,Palmeiras,Amarelo,Henrique Dourado,27.0,Atacante,88,4668.0,7.0,Sao Paulo,Lucas Cavalcante Silva Afonso,61,
137,4638,4,Palmeiras,Amarelo,Fábio Szymonek,47.0,Goleiro,45+2,4671.0,7.0,Corinthians,Romarinho,68,
138,4638,4,Palmeiras,Amarelo,Lucimar da Silva Ferreira,3.0,Zagueiro,28,4671.0,7.0,Corinthians,Jadson,38,
139,4638,4,Goias,Amarelo,Edson Pereira Lisboa,36.0,,69,4671.0,7.0,Corinthians,Jadson,55,Penalty
140,4638,4,Goias,Amarelo,Willian José de Souza,5.0,Meio-campo,15,4671.0,7.0,Sport,Augusto,28,
141,4637,4,Internacional,Amarelo,Willians Domingos Fernandes,8.0,Meio-campo,57,4671.0,7.0,Corinthians,Romarinho,20,
142,4637,4,Athletico-PR,Amarelo,Deivid Willian da Silva,5.0,Meio-campo,63,4672.0,7.0,Athletico-PR,Luccas Claro,58,Gol Contra
143,4637,4,Internacional,Amarelo,Charles Aránguiz,20.0,Meio-campo,71,4672.0,7.0,Athletico-PR,Marcos Guilherme,56,
144,4637,4,Internacional,Amarelo,Alex Raphael Meschini,12.0,Meio-campo,30,4670.0,7.0,Goias,Jackson de Souza,5,
145,4639,4,Botafogo-RJ,Amarelo,Matheus Dória Macedo,21.0,Zagueiro,68,4673.0,7.0,Cruzeiro,Ricardo Goulart,43,
146,4639,4,Criciuma,Amarelo,Bruno Lopes,,,69,4673.0,7.0,Cruzeiro,Willian Gomes de Siqueira,70,
147,4639,4,Criciuma,Amarelo,Fábio Ferreira,,Zagueiro,36,4673.0,7.0,Cruzeiro,Marcelo Moreno,88,
148,4639,4,Criciuma,Amarelo,Rodrigo Souza,,Meio-campo,85,4673.0,7.0,Internacional,Wellington Aparecido Martins,39,
149,4639,4,Criciuma,Amarelo,Carlos Eduardo Santos Oliveira,,Zagueiro,47,4674.0,7.0,Vitoria,Telmário de Araújo Sacramento,69,
150,4639,4,Criciuma,Amarelo,Sérgio Antônio Borges Júnior,,Meio-campo,27,4674.0,7.0,Botafogo-RJ,Emerson Sheik,43,
151,4642,4,Cruzeiro,Vermelho,Luan Michel Louzã,88.0,Atacante,75,4675.0,7.0,Chapecoense,Tiago Luís Martins,42,
152,4642,4,Atletico-MG,Amarelo,Alex da Silva,,Zagueiro,90+3,4675.0,7.0,Chapecoense,Derivaldo Beserra Cavalcante,47,
153,4642,4,Atletico-MG,Amarelo,Leonardo Silva,3.0,Zagueiro,51,4677.0,8.0,Criciuma,Fábio Ferreira,58,
154,4642,4,Atletico-MG,Amarelo,André Felipe Ribeiro de Souza,,Atacante,21,4678.0,8.0,Botafogo-RJ,Mario Bolatti,61,
155,4642,4,Cruzeiro,Amarelo,Jonathan Marlone,23.0,Meio-campo,40,4678.0,8.0,Botafogo-RJ,Pablo Zeballos,90+4,
156,4642,4,Cruzeiro,Vermelho,Marcelo Moreno,18.0,Atacante,90+5,4680.0,8.0,Internacional,Wellington Paulista,25,
157,4642,4,Atletico-MG,Amarelo,Leandro Donizete,8.0,Meio-campo,51,4680.0,8.0,Internacional,Wellington Paulista,79,
158,4642,4,Atletico-MG,Amarelo,Victor,1.0,Goleiro,50,4682.0,8.0,Corinthians,Paolo Guerrero,68,
159,4642,4,Cruzeiro,Amarelo,Leonardo Renan Simões de Lacerda,3.0,Zagueiro,70,4684.0,8.0,Atletico-MG,Jesús Dátolo,53,
160,4640,4,Chapecoense,Amarelo,Rafael Lima,3.0,Zagueiro,79,4684.0,8.0,Atletico-MG,Diego Tardelli,65,
161,4640,4,Gremio,Amarelo,Luan Guilherme de Jesus Vieira,7.0,,77,4683.0,8.0,Athletico-PR,Renato Baruffi,30,
162,4640,4,Gremio,Amarelo,Edinho,15.0,Meio-campo,58,4683.0,8.0,Athletico-PR,Cléverson Gabriel Córdova,90,
163,4640,4,Chapecoense,Amarelo,André Luiz Paulino de Souza Motta,4.0,Zagueiro,32,4683.0,8.0,Sao Paulo,Rogério Ceni,76,Penalty
164,4640,4,Gremio,Amarelo,Hernán Barcos,9.0,Atacante,66,4683.0,8.0,Sao Paulo,Luís Fabiano,90+2,
165,4640,4,Gremio,Amarelo,Eduardo Pereira Rodrigues,7.0,Atacante,46,4685.0,8.0,Flamengo,Alecsandro,20,
166,4641,4,Fluminense,Amarelo,Francisco Souza dos Santos,13.0,,88,4685.0,8.0,Figueirense,Everaldo Stum,22,
167,4641,4,Flamengo,Amarelo,Lucas Mugni,,Meio-campo,38,4686.0,8.0,Santos,Alan Santos da Silva,62,
168,4641,4,Flamengo,Amarelo,Paulinho,,Atacante,10,4686.0,8.0,Santos,Lucas Rafael Araújo Lima,89,
169,4641,4,Fluminense,Amarelo,Carlos Andrade Souza,6.0,Zagueiro,18,4687.0,9.0,Coritiba,Dener Assunção Braz,44,
170,4641,4,Flamengo,Amarelo,André Santos,27.0,Zagueiro,16,4687.0,9.0,Coritiba,Alexsandro de Souza,5,
171,4641,4,Flamengo,Amarelo,Víctor Cáceres,5.0,Meio-campo,8,4687.0,9.0,Coritiba,Keirrison,15,
172,4643,4,Sao Paulo,Amarelo,Luis Ricardo,27.0,Zagueiro,83,4688.0,9.0,Sao Paulo,Luís Fabiano,11,
173,4643,4,Corinthians,Amarelo,Luciano da Rocha Neves,18.0,,70,4688.0,9.0,Sao Paulo,Dorlan Pabón,90,
174,4643,4,Sao Paulo,Amarelo,Maicon,18.0,Meio-campo,90+2,4688.0,9.0,Atletico-MG,Josué Anunciado de Oliveira,79,
175,4643,4,Sao Paulo,Amarelo,Álvaro Pereira,6.0,Zagueiro,29,4689.0,9.0,Sport,Neto Baiano,48,
176,4643,4,Corinthians,Amarelo,Petros,40.0,Meio-campo,29,4691.0,9.0,Chapecoense,Abuda,54,
177,4644,4,Santos,Vermelho,Neuciano Gusmão,4.0,Zagueiro,89,4691.0,9.0,Chapecoense,José Carlos Tofolo Júnior,71,
178,4644,4,Figueirense,Amarelo,Luan José Niedzielski,21.0,Meio-campo,56,4691.0,9.0,Bahia,Demerson Bruno Costa,86,
179,4644,4,Santos,Amarelo,Neuciano Gusmão,4.0,Zagueiro,89,4692.0,9.0,Cruzeiro,Ricardo Goulart,16,
180,4644,4,Figueirense,Vermelho,Raúl Silva,13.0,Zagueiro,67,4692.0,9.0,Cruzeiro,Éverton Ribeiro,18,
181,4644,4,Figueirense,Amarelo,Rogisvaldo João dos Santos,,Meio-campo,52,4692.0,9.0,Cruzeiro,Borges,45+1,
182,4645,4,Coritiba,Amarelo,Luis Francisco Grando,25.0,Meio-campo,42,4694.0,9.0,Santos,Gabriel Barbosa,11,
183,4645,4,Sport,Amarelo,Leonardo Gonçalves Silva,19.0,Atacante,39,4694.0,9.0,Santos,Diego Cardoso,18,
184,4645,4,Coritiba,Amarelo,Leandro Almeida,44.0,Zagueiro,86,4693.0,9.0,Internacional,Jorge Henrique,22,
185,4645,4,Coritiba,Amarelo,Carlos Emiliano Pereira,30.0,Zagueiro,20,4693.0,9.0,Fluminense,Jean Raphael Vanderlei Moreira,31,
186,4646,4,Vitoria,Vermelho,Souza,,Atacante,75,4695.0,9.0,Athletico-PR,Douglas Coutinho,45+2,
187,4646,4,Bahia,Amarelo,Roniery,,Zagueiro,55,4695.0,9.0,Athletico-PR,Douglas Coutinho,53,
188,4646,4,Vitoria,Amarelo,Souza,,Atacante,45+2,4695.0,9.0,Athletico-PR,Douglas Coutinho,90+3,
189,4646,4,Vitoria,Amarelo,José Welison,14.0,Meio-campo,42,4695.0,9.0,Figueirense,Everaldo Stum,74,
190,4646,4,Bahia,Vermelho,Uelliton da Silva Vieira,8.0,Meio-campo,75,4697.0,28.0,Botafogo-RJ,Edílson Mendes Guimarães,87,
191,4646,4,Bahia,Amarelo,Pará,40.0,Zagueiro,90+2,4697.0,28.0,Corinthians,Jadson,25,
192,4646,4,Bahia,Amarelo,Demerson Bruno Costa,29.0,Zagueiro,45+1,4656.0,5.0,Sport,Mike dos Santos Nenatarvicius,73,
